RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
159,4,Sanitized Defender 159,FA,DE32,14,3,5
160,4,Sanitized Defender 160,FA,DT32,5,,6
161,5,Sanitized Defender 161,FA,CB33,6,1,
162,5,Sanitized Defender 162,FA,S33,7,2,1
163,5,Sanitized Defender 163,FA,LB33,8,3,2
164,5,Sanitized Defender 164,FA,DE33,9,,3
165,5,Sanitized Defender 165,FA,DT33,10,1,4
166,5,Sanitized Defender 166,FA,CB34,11,2,5
167,5,Sanitized Defender 167,FA,S34,12,3,6
168,5,Sanitized Defender 168,FA,LB34,13,,
169,5,Sanitized Defender 169,FA,DE34,14,1,1
170,5,Sanitized Defender 170,FA,DT34,5,2,2
171,5,Sanitized Defender 171,FA,CB35,6,3,3
172,5,Sanitized Defender 172,FA,S35,7,,4
173,5,Sanitized Defender 173,FA,LB35,8,1,5
174,5,Sanitized Defender 174,FA,DE35,9,2,6
175,5,Sanitized Defender 175,FA,DT35,10,3,
176,5,Sanitized Defender 176,FA,CB36,11,,1
177,5,Sanitized Defender 177,FA,S36,12,1,2
178,5,Sanitized Defender 178,FA,LB36,13,2,3
179,5,Sanitized Defender 179,FA,DE36,14,3,4
180,5,Sanitized Defender 180,FA,DT36,5,,5
181,5,Sanitized Defender 181,FA,CB37,6,1,6
182,5,Sanitized Defender 182,FA,S37,7,2,
183,5,Sanitized Defender 183,FA,LB37,8,3,1
184,5,Sanitized Defender 184,FA,DE37,9,,2
185,5,Sanitized Defender 185,FA,DT37,10,1,3
186,5,Sanitized Defender 186,FA,CB38,11,2,4
187,5,Sanitized Defender 187,FA,S38,12,3,5
188,5,Sanitized Defender 188,FA,LB38,13,,6
189,5,Sanitized Defender 189,FA,DE38,14,1,
190,5,Sanitized Defender 190,FA,DT38,5,2,1
191,5,Sanitized Defender 191,FA,CB39,6,3,2
192,5,Sanitized Defender 192,FA,S39,7,,3
