RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,UPSIDE,BUST,SOS SEASON,ECR VS. ADP,Provider Added
25,1,Sanitized QB Player 25,FA,QB7,10,,4,1,7,metadata-25
26,1,Sanitized RB Player 26,FA,RB7,11,1,5,2,8,metadata-26
27,1,Sanitized WR Player 27,FA,WR7,12,2,6,3,,metadata-27
28,1,Sanitized TE Player 28,FA,TE7,13,3,,,1,metadata-28
29,1,Sanitized QB Player 29,FA,QB8,14,4,1,1,2,metadata-29
30,1,Sanitized RB Player 30,FA,RB8,5,,2,2,3,metadata-30
31,1,Sanitized WR Player 31,FA,WR8,6,1,3,3,4,metadata-31
32,1,Sanitized TE Player 32,FA,TE8,7,2,4,,5,metadata-32
33,1,Sanitized QB Player 33,FA,QB9,8,3,5,1,6,metadata-33
34,1,Sanitized RB Player 34,FA,RB9,9,4,6,2,7,metadata-34
35,1,Sanitized WR Player 35,FA,WR9,10,,,3,8,metadata-35
36,1,Sanitized TE Player 36,FA,TE9,11,1,1,,,metadata-36
37,1,Sanitized QB Player 37,FA,QB10,12,2,2,1,1,metadata-37
38,1,Sanitized RB Player 38,FA,RB10,13,3,3,2,2,metadata-38
39,1,Sanitized WR Player 39,FA,WR10,14,4,4,3,3,metadata-39
40,1,Sanitized TE Player 40,FA,TE10,5,,5,,4,metadata-40
41,1,Sanitized QB Player 41,FA,QB11,6,1,6,1,5,metadata-41
42,1,Sanitized RB Player 42,FA,RB11,7,2,,2,6,metadata-42
43,1,Sanitized WR Player 43,FA,WR11,8,3,1,3,7,metadata-43
44,1,Sanitized TE Player 44,FA,TE11,9,4,2,,8,metadata-44
45,1,Sanitized QB Player 45,FA,QB12,10,,3,1,,metadata-45
46,1,Sanitized RB Player 46,FA,RB12,11,1,4,2,1,metadata-46
47,1,Sanitized WR Player 47,FA,WR12,12,2,5,3,2,metadata-47
48,1,Sanitized TE Player 48,FA,TE12,13,3,6,,3,metadata-48
49,1,Sanitized QB Player 49,FA,QB13,14,4,,1,4,metadata-49
50,1,Sanitized RB Player 50,FA,RB13,5,,1,2,5,metadata-50
51,1,Sanitized WR Player 51,FA,WR13,6,1,2,3,6,metadata-51
52,1,Sanitized TE Player 52,FA,TE13,7,2,3,,7,metadata-52
53,1,Sanitized QB Player 53,FA,QB14,8,3,4,1,8,metadata-53
54,1,Sanitized RB Player 54,FA,RB14,9,4,5,2,,metadata-54
55,1,Sanitized WR Player 55,FA,WR14,10,,6,3,1,metadata-55
56,1,Sanitized TE Player 56,FA,TE14,11,1,,,2,metadata-56
57,1,Sanitized QB Player 57,FA,QB15,12,2,1,1,3,metadata-57
58,1,Sanitized RB Player 58,FA,RB15,13,3,2,2,4,metadata-58
59,1,Sanitized WR Player 59,FA,WR15,14,4,3,3,5,metadata-59
60,1,Sanitized TE Player 60,FA,TE15,5,,4,,6,metadata-60
61,2,Sanitized QB Player 61,FA,QB16,6,1,5,1,7,metadata-61
62,2,Sanitized RB Player 62,FA,RB16,7,2,6,2,8,metadata-62
63,2,Sanitized WR Player 63,FA,WR16,8,3,,3,,metadata-63
64,2,Sanitized TE Player 64,FA,TE16,9,4,1,,1,metadata-64
65,2,Sanitized QB Player 65,FA,QB17,10,,2,1,2,metadata-65
66,2,Sanitized RB Player 66,FA,RB17,11,1,3,2,3,metadata-66
67,2,Sanitized WR Player 67,FA,WR17,12,2,4,3,4,metadata-67
68,2,Sanitized TE Player 68,FA,TE17,13,3,5,,5,metadata-68
69,2,Sanitized QB Player 69,FA,QB18,14,4,6,1,6,metadata-69
70,2,Sanitized RB Player 70,FA,RB18,5,,,2,7,metadata-70
71,2,Sanitized WR Player 71,FA,WR18,6,1,1,3,8,metadata-71
72,2,Sanitized TE Player 72,FA,TE18,7,2,2,,,metadata-72
73,2,Sanitized QB Player 73,FA,QB19,8,3,3,1,1,metadata-73
74,2,Sanitized RB Player 74,FA,RB19,9,4,4,2,2,metadata-74
75,2,Sanitized WR Player 75,FA,WR19,10,,5,3,3,metadata-75
76,2,Sanitized TE Player 76,FA,TE19,11,1,6,,4,metadata-76
77,2,Sanitized QB Player 77,FA,QB20,12,2,,1,5,metadata-77
78,2,Sanitized RB Player 78,FA,RB20,13,3,1,2,6,metadata-78
79,2,Sanitized WR Player 79,FA,WR20,14,4,2,3,7,metadata-79
80,2,Sanitized TE Player 80,FA,TE20,5,,3,,8,metadata-80
81,2,Sanitized QB Player 81,FA,QB21,6,1,4,1,,metadata-81
82,2,Sanitized RB Player 82,FA,RB21,7,2,5,2,1,metadata-82
83,2,Sanitized WR Player 83,FA,WR21,8,3,6,3,2,metadata-83
84,2,Sanitized TE Player 84,FA,TE21,9,4,,,3,metadata-84
85,2,Sanitized QB Player 85,FA,QB22,10,,1,1,4,metadata-85
86,2,Sanitized RB Player 86,FA,RB22,11,1,2,2,5,metadata-86
87,2,Sanitized WR Player 87,FA,WR22,12,2,3,3,6,metadata-87
88,2,Sanitized TE Player 88,FA,TE22,13,3,4,,7,metadata-88
89,2,Sanitized QB Player 89,FA,QB23,14,4,5,1,8,metadata-89
90,2,Sanitized RB Player 90,FA,RB23,5,,6,2,,metadata-90
91,2,Sanitized WR Player 91,FA,WR23,6,1,,3,1,metadata-91
92,2,Sanitized TE Player 92,FA,TE23,7,2,1,,2,metadata-92
93,2,Sanitized QB Player 93,FA,QB24,8,3,2,1,3,metadata-93
94,2,Sanitized RB Player 94,FA,RB24,9,4,3,2,4,metadata-94
95,2,Sanitized WR Player 95,FA,WR24,10,,4,3,5,metadata-95
96,2,Sanitized TE Player 96,FA,TE24,11,1,5,,6,metadata-96
97,2,Sanitized QB Player 97,FA,QB25,12,2,6,1,7,metadata-97
98,2,Sanitized RB Player 98,FA,RB25,13,3,,2,8,metadata-98
99,2,Sanitized WR Player 99,FA,WR25,14,4,1,3,,metadata-99
100,2,Sanitized TE Player 100,FA,TE25,5,,2,,1,metadata-100
101,2,Sanitized QB Player 101,FA,QB26,6,1,3,1,2,metadata-101
102,2,Sanitized RB Player 102,FA,RB26,7,2,4,2,3,metadata-102
103,2,Sanitized WR Player 103,FA,WR26,8,3,5,3,4,metadata-103
104,2,Sanitized TE Player 104,FA,TE26,9,4,6,,5,metadata-104
105,2,Sanitized QB Player 105,FA,QB27,10,,,1,6,metadata-105
106,2,Sanitized RB Player 106,FA,RB27,11,1,1,2,7,metadata-106
107,2,Sanitized WR Player 107,FA,WR27,12,2,2,3,8,metadata-107
108,2,Sanitized TE Player 108,FA,TE27,13,3,3,,,metadata-108
109,2,Sanitized QB Player 109,FA,QB28,14,4,4,1,1,metadata-109
110,2,Sanitized RB Player 110,FA,RB28,5,,5,2,2,metadata-110
111,2,Sanitized WR Player 111,FA,WR28,6,1,6,3,3,metadata-111
112,2,Sanitized TE Player 112,FA,TE28,7,2,,,4,metadata-112
113,2,Sanitized QB Player 113,FA,QB29,8,3,1,1,5,metadata-113
114,2,Sanitized RB Player 114,FA,RB29,9,4,2,2,6,metadata-114
115,2,Sanitized WR Player 115,FA,WR29,10,,3,3,7,metadata-115
116,2,Sanitized TE Player 116,FA,TE29,11,1,4,,8,metadata-116
117,2,Sanitized QB Player 117,FA,QB30,12,2,5,1,,metadata-117
118,2,Sanitized RB Player 118,FA,RB30,13,3,6,2,1,metadata-118
119,2,Sanitized WR Player 119,FA,WR30,14,4,,3,2,metadata-119
120,2,Sanitized TE Player 120,FA,TE30,5,,1,,3,metadata-120
121,3,Sanitized QB Player 121,FA,QB31,6,1,2,1,4,metadata-121
122,3,Sanitized RB Player 122,FA,RB31,7,2,3,2,5,metadata-122
123,3,Sanitized WR Player 123,FA,WR31,8,3,4,3,6,metadata-123
124,3,Sanitized TE Player 124,FA,TE31,9,4,5,,7,metadata-124
125,3,Sanitized QB Player 125,FA,QB32,10,,6,1,8,metadata-125
126,3,Sanitized RB Player 126,FA,RB32,11,1,,2,,metadata-126
127,3,Sanitized WR Player 127,FA,WR32,12,2,1,3,1,metadata-127
128,3,Sanitized TE Player 128,FA,TE32,13,3,2,,2,metadata-128
129,3,Sanitized QB Player 129,FA,QB33,14,4,3,1,3,metadata-129
130,3,Sanitized RB Player 130,FA,RB33,5,,4,2,4,metadata-130
131,3,Sanitized WR Player 131,FA,WR33,6,1,5,3,5,metadata-131
132,3,Sanitized TE Player 132,FA,TE33,7,2,6,,6,metadata-132
133,3,Sanitized QB Player 133,FA,QB34,8,3,,1,7,metadata-133
134,3,Sanitized RB Player 134,FA,RB34,9,4,1,2,8,metadata-134
135,3,Sanitized WR Player 135,FA,WR34,10,,2,3,,metadata-135
136,3,Sanitized TE Player 136,FA,TE34,11,1,3,,1,metadata-136
137,3,Sanitized QB Player 137,FA,QB35,12,2,4,1,2,metadata-137
138,3,Sanitized RB Player 138,FA,RB35,13,3,5,2,3,metadata-138
139,3,Sanitized WR Player 139,FA,WR35,14,4,6,3,4,metadata-139
140,3,Sanitized TE Player 140,FA,TE35,5,,,,5,metadata-140
141,3,Sanitized QB Player 141,FA,QB36,6,1,1,1,6,metadata-141
142,3,Sanitized RB Player 142,FA,RB36,7,2,2,2,7,metadata-142
143,3,Sanitized WR Player 143,FA,WR36,8,3,3,3,8,metadata-143
144,3,Sanitized TE Player 144,FA,TE36,9,4,4,,,metadata-144
145,3,Sanitized QB Player 145,FA,QB37,10,,5,1,1,metadata-145
146,3,Sanitized RB Player 146,FA,RB37,11,1,6,2,2,metadata-146
147,3,Sanitized WR Player 147,FA,WR37,12,2,,3,3,metadata-147
148,3,Sanitized TE Player 148,FA,TE37,13,3,1,,4,metadata-148
149,3,Sanitized QB Player 149,FA,QB38,14,4,2,1,5,metadata-149
150,3,Sanitized RB Player 150,FA,RB38,5,,3,2,6,metadata-150
151,3,Sanitized WR Player 151,FA,WR38,6,1,4,3,7,metadata-151
152,3,Sanitized TE Player 152,FA,TE38,7,2,5,,8,metadata-152
153,3,Sanitized QB Player 153,FA,QB39,8,3,6,1,,metadata-153
154,3,Sanitized RB Player 154,FA,RB39,9,4,,2,1,metadata-154
155,3,Sanitized WR Player 155,FA,WR39,10,,1,3,2,metadata-155
156,3,Sanitized TE Player 156,FA,TE39,11,1,2,,3,metadata-156
157,3,Sanitized QB Player 157,FA,QB40,12,2,3,1,4,metadata-157
158,3,Sanitized RB Player 158,FA,RB40,13,3,4,2,5,metadata-158
159,3,Sanitized WR Player 159,FA,WR40,14,4,5,3,6,metadata-159
160,3,Sanitized TE Player 160,FA,TE40,5,,6,,7,metadata-160
161,3,Sanitized QB Player 161,FA,QB41,6,1,,1,8,metadata-161
162,3,Sanitized RB Player 162,FA,RB41,7,2,1,2,,metadata-162
163,3,Sanitized WR Player 163,FA,WR41,8,3,2,3,1,metadata-163
164,3,Sanitized TE Player 164,FA,TE41,9,4,3,,2,metadata-164
165,3,Sanitized QB Player 165,FA,QB42,10,,4,1,3,metadata-165
166,3,Sanitized RB Player 166,FA,RB42,11,1,5,2,4,metadata-166
167,3,Sanitized WR Player 167,FA,WR42,12,2,6,3,5,metadata-167
168,3,Sanitized TE Player 168,FA,TE42,13,3,,,6,metadata-168
169,3,Sanitized QB Player 169,FA,QB43,14,4,1,1,7,metadata-169
170,3,Sanitized RB Player 170,FA,RB43,5,,2,2,8,metadata-170
171,3,Sanitized WR Player 171,FA,WR43,6,1,3,3,,metadata-171
172,3,Sanitized TE Player 172,FA,TE43,7,2,4,,1,metadata-172
173,3,Sanitized QB Player 173,FA,QB44,8,3,5,1,2,metadata-173
174,3,Sanitized RB Player 174,FA,RB44,9,4,6,2,3,metadata-174
175,3,Sanitized WR Player 175,FA,WR44,10,,,3,4,metadata-175
176,3,Sanitized TE Player 176,FA,TE44,11,1,1,,5,metadata-176
177,3,Sanitized QB Player 177,FA,QB45,12,2,2,1,6,metadata-177
178,3,Sanitized RB Player 178,FA,RB45,13,3,3,2,7,metadata-178
179,3,Sanitized WR Player 179,FA,WR45,14,4,4,3,8,metadata-179
180,3,Sanitized TE Player 180,FA,TE45,5,,5,,,metadata-180
181,4,Sanitized QB Player 181,FA,QB46,6,1,6,1,1,metadata-181
182,4,Sanitized RB Player 182,FA,RB46,7,2,,2,2,metadata-182
183,4,Sanitized WR Player 183,FA,WR46,8,3,1,3,3,metadata-183
184,4,Sanitized TE Player 184,FA,TE46,9,4,2,,4,metadata-184
185,4,Sanitized QB Player 185,FA,QB47,10,,3,1,5,metadata-185
186,4,Sanitized RB Player 186,FA,RB47,11,1,4,2,6,metadata-186
187,4,Sanitized WR Player 187,FA,WR47,12,2,5,3,7,metadata-187
188,4,Sanitized TE Player 188,FA,TE47,13,3,6,,8,metadata-188
189,4,Sanitized QB Player 189,FA,QB48,14,4,,1,,metadata-189
190,4,Sanitized RB Player 190,FA,RB48,5,,1,2,1,metadata-190
191,4,Sanitized WR Player 191,FA,WR48,6,1,2,3,2,metadata-191
192,4,Sanitized TE Player 192,FA,TE48,7,2,3,,3,metadata-192
193,4,Sanitized QB Player 193,FA,QB49,8,3,4,1,4,metadata-193
194,4,Sanitized RB Player 194,FA,RB49,9,4,5,2,5,metadata-194
195,4,Sanitized WR Player 195,FA,WR49,10,,6,3,6,metadata-195
196,4,Sanitized TE Player 196,FA,TE49,11,1,,,7,metadata-196
197,4,Sanitized QB Player 197,FA,QB50,12,2,1,1,8,metadata-197
198,4,Sanitized RB Player 198,FA,RB50,13,3,2,2,,metadata-198
199,4,Sanitized WR Player 199,FA,WR50,14,4,3,3,1,metadata-199
200,4,Sanitized TE Player 200,FA,TE50,5,,4,,2,metadata-200
201,4,Sanitized QB Player 201,FA,QB51,6,1,5,1,3,metadata-201
202,4,Sanitized RB Player 202,FA,RB51,7,2,6,2,4,metadata-202
203,4,Sanitized WR Player 203,FA,WR51,8,3,,3,5,metadata-203
204,4,Sanitized TE Player 204,FA,TE51,9,4,1,,6,metadata-204
205,4,Sanitized QB Player 205,FA,QB52,10,,2,1,7,metadata-205
206,4,Sanitized RB Player 206,FA,RB52,11,1,3,2,8,metadata-206
207,4,Sanitized WR Player 207,FA,WR52,12,2,4,3,,metadata-207
208,4,Sanitized TE Player 208,FA,TE52,13,3,5,,1,metadata-208
209,4,Sanitized QB Player 209,FA,QB53,14,4,6,1,2,metadata-209
210,4,Sanitized RB Player 210,FA,RB53,5,,,2,3,metadata-210
211,4,Sanitized WR Player 211,FA,WR53,6,1,1,3,4,metadata-211
212,4,Sanitized TE Player 212,FA,TE53,7,2,2,,5,metadata-212
213,4,Sanitized QB Player 213,FA,QB54,8,3,3,1,6,metadata-213
214,4,Sanitized RB Player 214,FA,RB54,9,4,4,2,7,metadata-214
215,4,Sanitized WR Player 215,FA,WR54,10,,5,3,8,metadata-215
216,4,Sanitized TE Player 216,FA,TE54,11,1,6,,,metadata-216
217,4,Sanitized QB Player 217,FA,QB55,12,2,,1,1,metadata-217
218,4,Sanitized RB Player 218,FA,RB55,13,3,1,2,2,metadata-218
219,4,Sanitized WR Player 219,FA,WR55,14,4,2,3,3,metadata-219
220,4,Sanitized TE Player 220,FA,TE55,5,,3,,4,metadata-220
221,4,Sanitized QB Player 221,FA,QB56,6,1,4,1,5,metadata-221
222,4,Sanitized RB Player 222,FA,RB56,7,2,5,2,6,metadata-222
223,4,Sanitized WR Player 223,FA,WR56,8,3,6,3,7,metadata-223
224,4,Sanitized TE Player 224,FA,TE56,9,4,,,8,metadata-224
225,4,Sanitized QB Player 225,FA,QB57,10,,1,1,,metadata-225
226,4,Sanitized RB Player 226,FA,RB57,11,1,2,2,1,metadata-226
227,4,Sanitized WR Player 227,FA,WR57,12,2,3,3,2,metadata-227
228,4,Sanitized TE Player 228,FA,TE57,13,3,4,,3,metadata-228
229,4,Sanitized QB Player 229,FA,QB58,14,4,5,1,4,metadata-229
230,4,Sanitized RB Player 230,FA,RB58,5,,6,2,5,metadata-230
231,4,Sanitized WR Player 231,FA,WR58,6,1,,3,6,metadata-231
232,4,Sanitized TE Player 232,FA,TE58,7,2,1,,7,metadata-232
233,4,Sanitized QB Player 233,FA,QB59,8,3,2,1,8,metadata-233
234,4,Sanitized RB Player 234,FA,RB59,9,4,3,2,,metadata-234
235,4,Sanitized WR Player 235,FA,WR59,10,,4,3,1,metadata-235
236,4,Sanitized TE Player 236,FA,TE59,11,1,5,,2,metadata-236
237,4,Sanitized QB Player 237,FA,QB60,12,2,6,1,3,metadata-237
238,4,Sanitized RB Player 238,FA,RB60,13,3,,2,4,metadata-238
239,4,Sanitized WR Player 239,FA,WR60,14,4,1,3,5,metadata-239
240,4,Sanitized TE Player 240,FA,TE60,5,,2,,6,metadata-240
241,5,Sanitized QB Player 241,FA,QB61,6,1,3,1,7,metadata-241
242,5,Sanitized RB Player 242,FA,RB61,7,2,4,2,8,metadata-242
243,5,Sanitized WR Player 243,FA,WR61,8,3,5,3,,metadata-243
244,5,Sanitized TE Player 244,FA,TE61,9,4,6,,1,metadata-244
245,5,Sanitized QB Player 245,FA,QB62,10,,,1,2,metadata-245
246,5,Sanitized RB Player 246,FA,RB62,11,1,1,2,3,metadata-246
247,5,Sanitized WR Player 247,FA,WR62,12,2,2,3,4,metadata-247
248,5,Sanitized TE Player 248,FA,TE62,13,3,3,,5,metadata-248
249,5,Sanitized QB Player 249,FA,QB63,14,4,4,1,6,metadata-249
250,5,Sanitized RB Player 250,FA,RB63,5,,5,2,7,metadata-250
251,5,Sanitized WR Player 251,FA,WR63,6,1,6,3,8,metadata-251
252,5,Sanitized TE Player 252,FA,TE63,7,2,,,,metadata-252
253,5,Sanitized QB Player 253,FA,QB64,8,3,1,1,1,metadata-253
254,5,Sanitized RB Player 254,FA,RB64,9,4,2,2,2,metadata-254
255,5,Sanitized WR Player 255,FA,WR64,10,,3,3,3,metadata-255
256,5,Sanitized TE Player 256,FA,TE64,11,1,4,,4,metadata-256
257,5,Sanitized QB Player 257,FA,QB65,12,2,5,1,5,metadata-257
258,5,Sanitized RB Player 258,FA,RB65,13,3,6,2,6,metadata-258
259,5,Sanitized WR Player 259,FA,WR65,14,4,,3,7,metadata-259
260,5,Sanitized TE Player 260,FA,TE65,5,,1,,8,metadata-260
261,5,Sanitized QB Player 261,FA,QB66,6,1,2,1,,metadata-261
262,5,Sanitized RB Player 262,FA,RB66,7,2,3,2,1,metadata-262
263,5,Sanitized WR Player 263,FA,WR66,8,3,4,3,2,metadata-263
264,5,Sanitized TE Player 264,FA,TE66,9,4,5,,3,metadata-264
265,5,Sanitized QB Player 265,FA,QB67,10,,6,1,4,metadata-265
266,5,Sanitized RB Player 266,FA,RB67,11,1,,2,5,metadata-266
267,5,Sanitized WR Player 267,FA,WR67,12,2,1,3,6,metadata-267
268,5,Sanitized TE Player 268,FA,TE67,13,3,2,,7,metadata-268
269,5,Sanitized QB Player 269,FA,QB68,14,4,3,1,8,metadata-269
270,5,Sanitized RB Player 270,FA,RB68,5,,4,2,,metadata-270
271,5,Sanitized WR Player 271,FA,WR68,6,1,5,3,1,metadata-271
272,5,Sanitized TE Player 272,FA,TE68,7,2,6,,2,metadata-272
273,5,Sanitized QB Player 273,FA,QB69,8,3,,1,3,metadata-273
274,5,Sanitized RB Player 274,FA,RB69,9,4,1,2,4,metadata-274
275,5,Sanitized WR Player 275,FA,WR69,10,,2,3,5,metadata-275
276,5,Sanitized TE Player 276,FA,TE69,11,1,3,,6,metadata-276
277,5,Sanitized QB Player 277,FA,QB70,12,2,4,1,7,metadata-277
278,5,Sanitized RB Player 278,FA,RB70,13,3,5,2,8,metadata-278
279,5,Sanitized WR Player 279,FA,WR70,14,4,6,3,,metadata-279
280,5,Sanitized TE Player 280,FA,TE70,5,,,,1,metadata-280
281,5,Sanitized QB Player 281,FA,QB71,6,1,1,1,2,metadata-281
282,5,Sanitized RB Player 282,FA,RB71,7,2,2,2,3,metadata-282
283,5,Sanitized WR Player 283,FA,WR71,8,3,3,3,4,metadata-283
284,5,Sanitized TE Player 284,FA,TE71,9,4,4,,5,metadata-284
285,5,Sanitized QB Player 285,FA,QB72,10,,5,1,6,metadata-285
286,5,Sanitized RB Player 286,FA,RB72,11,1,6,2,7,metadata-286
287,5,Sanitized WR Player 287,FA,WR72,12,2,,3,8,metadata-287
288,5,Sanitized TE Player 288,FA,TE72,13,3,1,,,metadata-288
289,5,Sanitized QB Player 289,FA,QB73,14,4,2,1,1,metadata-289
290,5,Sanitized RB Player 290,FA,RB73,5,,3,2,2,metadata-290
291,5,Sanitized WR Player 291,FA,WR73,6,1,4,3,3,metadata-291
292,5,Sanitized TE Player 292,FA,TE73,7,2,5,,4,metadata-292
293,5,Sanitized QB Player 293,FA,QB74,8,3,6,1,5,metadata-293
294,5,Sanitized RB Player 294,FA,RB74,9,4,,2,6,metadata-294
295,5,Sanitized WR Player 295,FA,WR74,10,,1,3,7,metadata-295
296,5,Sanitized TE Player 296,FA,TE74,11,1,2,,8,metadata-296
297,5,Sanitized QB Player 297,FA,QB75,12,2,3,1,,metadata-297
298,5,Sanitized RB Player 298,FA,RB75,13,3,4,2,1,metadata-298
299,5,Sanitized WR Player 299,FA,WR75,14,4,5,3,2,metadata-299
300,5,Sanitized TE Player 300,FA,TE75,5,,6,,3,metadata-300
301,6,Sanitized QB Player 301,FA,QB76,6,1,,1,4,metadata-301
302,6,Sanitized RB Player 302,FA,RB76,7,2,1,2,5,metadata-302
303,6,Sanitized WR Player 303,FA,WR76,8,3,2,3,6,metadata-303
304,6,Sanitized TE Player 304,FA,TE76,9,4,3,,7,metadata-304
305,6,Sanitized QB Player 305,FA,QB77,10,,4,1,8,metadata-305
306,6,Sanitized RB Player 306,FA,RB77,11,1,5,2,,metadata-306
307,6,Sanitized WR Player 307,FA,WR77,12,2,6,3,1,metadata-307
308,6,Sanitized TE Player 308,FA,TE77,13,3,,,2,metadata-308
309,6,Sanitized QB Player 309,FA,QB78,14,4,1,1,3,metadata-309
310,6,Sanitized RB Player 310,FA,RB78,5,,2,2,4,metadata-310
311,6,Sanitized WR Player 311,FA,WR78,6,1,3,3,5,metadata-311
312,6,Sanitized TE Player 312,FA,TE78,7,2,4,,6,metadata-312
313,6,Sanitized QB Player 313,FA,QB79,8,3,5,1,7,metadata-313
314,6,Sanitized RB Player 314,FA,RB79,9,4,6,2,8,metadata-314
315,6,Sanitized WR Player 315,FA,WR79,10,,,3,,metadata-315
316,6,Sanitized TE Player 316,FA,TE79,11,1,1,,1,metadata-316
317,6,Sanitized QB Player 317,FA,QB80,12,2,2,1,2,metadata-317
318,6,Sanitized RB Player 318,FA,RB80,13,3,3,2,3,metadata-318
319,6,Sanitized WR Player 319,FA,WR80,14,4,4,3,4,metadata-319
320,6,Sanitized TE Player 320,FA,TE80,5,,5,,5,metadata-320
321,6,Sanitized QB Player 321,FA,QB81,6,1,6,1,6,metadata-321
322,6,Sanitized RB Player 322,FA,RB81,7,2,,2,7,metadata-322
323,6,Sanitized WR Player 323,FA,WR81,8,3,1,3,8,metadata-323
324,6,Sanitized TE Player 324,FA,TE81,9,4,2,,,metadata-324
325,6,Sanitized QB Player 325,FA,QB82,10,,3,1,1,metadata-325
326,6,Sanitized RB Player 326,FA,RB82,11,1,4,2,2,metadata-326
327,6,Sanitized WR Player 327,FA,WR82,12,2,5,3,3,metadata-327
328,6,Sanitized TE Player 328,FA,TE82,13,3,6,,4,metadata-328
329,6,Sanitized QB Player 329,FA,QB83,14,4,,1,5,metadata-329
330,6,Sanitized RB Player 330,FA,RB83,5,,1,2,6,metadata-330
331,6,Sanitized WR Player 331,FA,WR83,6,1,2,3,7,metadata-331
332,6,Sanitized TE Player 332,FA,TE83,7,2,3,,8,metadata-332
333,6,Sanitized QB Player 333,FA,QB84,8,3,4,1,,metadata-333
334,6,Sanitized RB Player 334,FA,RB84,9,4,5,2,1,metadata-334
335,6,Sanitized WR Player 335,FA,WR84,10,,6,3,2,metadata-335
336,6,Sanitized TE Player 336,FA,TE84,11,1,,,3,metadata-336
337,6,Sanitized QB Player 337,FA,QB85,12,2,1,1,4,metadata-337
338,6,Sanitized RB Player 338,FA,RB85,13,3,2,2,5,metadata-338
339,6,Sanitized WR Player 339,FA,WR85,14,4,3,3,6,metadata-339
340,6,Sanitized TE Player 340,FA,TE85,5,,4,,7,metadata-340
341,6,Sanitized QB Player 341,FA,QB86,6,1,5,1,8,metadata-341
342,6,Sanitized RB Player 342,FA,RB86,7,2,6,2,,metadata-342
343,6,Sanitized WR Player 343,FA,WR86,8,3,,3,1,metadata-343
344,6,Sanitized TE Player 344,FA,TE86,9,4,1,,2,metadata-344
345,6,Sanitized QB Player 345,FA,QB87,10,,2,1,3,metadata-345
346,6,Sanitized RB Player 346,FA,RB87,11,1,3,2,4,metadata-346
347,6,Sanitized WR Player 347,FA,WR87,12,2,4,3,5,metadata-347
348,6,Sanitized TE Player 348,FA,TE87,13,3,5,,6,metadata-348
349,6,Sanitized QB Player 349,FA,QB88,14,4,6,1,7,metadata-349
350,6,Sanitized RB Player 350,FA,RB88,5,,,2,8,metadata-350
351,6,Sanitized WR Player 351,FA,WR88,6,1,1,3,,metadata-351
352,6,Sanitized TE Player 352,FA,TE88,7,2,2,,1,metadata-352
353,6,Sanitized QB Player 353,FA,QB89,8,3,3,1,2,metadata-353
354,6,Sanitized RB Player 354,FA,RB89,9,4,4,2,3,metadata-354
355,6,Sanitized WR Player 355,FA,WR89,10,,5,3,4,metadata-355
356,6,Sanitized TE Player 356,FA,TE89,11,1,6,,5,metadata-356
357,6,Sanitized QB Player 357,FA,QB90,12,2,,1,6,metadata-357
358,6,Sanitized RB Player 358,FA,RB90,13,3,1,2,7,metadata-358
359,6,Sanitized WR Player 359,FA,WR90,14,4,2,3,8,metadata-359
360,6,Sanitized TE Player 360,FA,TE90,5,,3,,,metadata-360
361,7,Sanitized QB Player 361,FA,QB91,6,1,4,1,1,metadata-361
